filename,rating
20_0_2_20170117193519517.jpg.chip.jpg,4
20_1_2_20170104020725236.jpg.chip.jpg,4
20_1_2_20170104021544485.jpg.chip.jpg,2
20_1_2_20170109213154546.jpg.chip.jpg,3
20_1_2_20170116182714846.jpg.chip.jpg,1
20_1_2_20170117141237688.jpg.chip.jpg,4
21_1_2_20170104021056028.jpg.chip.jpg,4
21_1_2_20170105002530429.jpg.chip.jpg,3
21_1_2_20170109132112364.jpg.chip.jpg,4
22_0_2_20170104021348142.jpg.chip.jpg,4
22_0_2_20170116161434440.jpg.chip.jpg,3
22_0_2_20170116172455828.jpg.chip.jpg,2
22_1_2_20170104020216916.jpg.chip.jpg,4
22_1_2_20170116172030701.jpg.chip.jpg,3
22_1_2_20170116172657692.jpg.chip.jpg,4
23_0_2_20170107213747034.jpg.chip.jpg,5
23_1_2_20170116173201790.jpg.chip.jpg,4
24_0_2_20170116165043828.jpg.chip.jpg,3
24_0_2_20170116165334206.jpg.chip.jpg,2
24_1_2_20170103235106308.jpg.chip.jpg,4
24_1_2_20170104020818270.jpg.chip.jpg,4
24_1_2_20170116163049260.jpg.chip.jpg,4
24_1_2_20170116163052645.jpg.chip.jpg,4
24_1_2_20170116163634730.jpg.chip.jpg,3
24_1_2_20170116165051346.jpg.chip.jpg,1
24_1_2_20170116165506261.jpg.chip.jpg,3
24_1_2_20170116165511429.jpg.chip.jpg,1
24_1_2_20170116170010620.jpg.chip.jpg,4
24_1_2_20170116171158821.jpg.chip.jpg,5
24_1_2_20170116171607480.jpg.chip.jpg,1
24_1_2_20170116173449887.jpg.chip.jpg,2
24_1_2_20170116174409602.jpg.chip.jpg,1
24_1_2_20170116174421540.jpg.chip.jpg,4
24_1_2_20170116174520246.jpg.chip.jpg,3
24_1_2_20170116222614742.jpg.chip.jpg,2
24_1_2_20170119164624877.jpg.chip.jpg,3
25_0_2_20170116161438706.jpg.chip.jpg,1
25_0_2_20170116165108577.jpg.chip.jpg,3
25_1_2_20161219194415803.jpg.chip.jpg,2
25_1_2_20170104015651372.jpg.chip.jpg,2
25_1_2_20170104020903060.jpg.chip.jpg,3
25_1_2_20170104021935245.jpg.chip.jpg,4
25_1_2_20170116175251901.jpg.chip.jpg,4
26_0_2_20170104020643628.jpg.chip.jpg,3
26_0_2_20170116165341590.jpg.chip.jpg,1
26_0_2_20170116180859386.jpg.chip.jpg,4
26_0_2_20170116181230382.jpg.chip.jpg,4
